gtin,title,price
MIM-S-R5-8-512,MIMDESK S RYZEN 5 5655G 8GB 512GB,347.00
MIM-S-R5-16-512,MIMDESK S RYZEN 5 5655G 16GB 512GB,386.00
MIM-S-R5-16-1TB,MIMDESK S RYZEN 5 5655G 16GB 1TB,423.00
MIM-S-I3-8-512,MIMDESK S i3-12100 8GB 512GB,370.00
MIM-S-I3-16-512,MIMDESK S i3-12100 16GB 512GB,409.00
MIM-S-I3-14-16,MIMDESK S i3-14100 16GB 512GB,476.00
MIM-S-I5-8-512,MIMDESK S i5-14600K 8GB 512GB,480.00
MIM-S-I5-16-512,MIMDESK S i5-14600K 16GB 512GB,519.00
MIM-S-I5-16-1TB,MIMDESK S i5-14600K 16GB 1TB,557.00
MIM-S-I7-16-1TB,MIMDESK S i7-12700K 16GB 1TB,622.00
MIM-M-R5-8-512,MIMDESK M RYZEN 5 5655G 8GB 512GB,347.00
MIM-M-R5-16-512,MIMDESK M RYZEN 5 5655G 16GB 512GB,386.00
MIM-M-R5-16-1TB,MIMDESK M RYZEN 5 5655G 16GB 1TB,423.00
MIM-M-I3-8-512,MIMDESK M i3-12100 8GB 512GB,370.00
MIM-M-I3-16-512,MIMDESK M i3-12100 16GB 512GB,409.00
MIM-M-I3-14-16,MIMDESK M i3-14100 16GB 512GB,476.00
MIM-M-I5-8-512,MIMDESK M i5-14600K 8GB 512GB,480.00
MIM-M-I5-16-512,MIMDESK M i5-14600K 16GB 512GB,519.00
MIM-M-I5-16-1TB,MIMDESK M i5-14600K 16GB 1TB,557.00
MIM-M-I7-16-1TB,MIMDESK M i7-12700K 16GB 1TB,622.00
